Year,Temperature,,,,,,,,,,,,,,
1951,-0.597638889,,,,,,,,,,,,,,
1952,-0.495,,,,,,,,,,,,,,
1953,-0.084583333,,,,,,,,,,,,,,
1954,NA,,,,,,,,,,,,,,
1955,-0.036678571,,,,,,,,,,,,,,
1956,-0.412,,,,,,,,,,,,,,
1957,-0.491458333,,,,,,,,,,,,,,
1958,-0.195,,,,,,,,,,,,,,
1959,-0.006666667,,,,,,,,,,,,,,
1960,0.076,,,,,,,,,,,,,,
1961,NA,,,,,,,,,,,,,,
1962,0.210833333,,,,,,,,,,,,,,
1963,0.170194444,,,,,,,,,,,,,,
1964,0.243333333,,,,,,,,,,,,,,
1965,-0.049285714,,,,,,,,,,,,,,
1966,-0.139047619,,,,,,,,,,,,,,
1967,0.016130952,,,,,,,,,,,,,,
1968,0.097619048,,,,,,,,,,,,,,
1969,0.0775,,,,,,,,,,,,,,
1970,0.178452381,,,,,,,,,,,,,,
1971,0.373333333,,,,,,,,,,,,,,
1972,-0.234761905,,,,,,,,,,,,,,
1973,-0.19825938,,,,,,,,,,,,,,
1974,-0.06922619,,,,,,,,,,,,,,
1975,-0.0525,,,,,,,,,,,,,,
1976,-0.218333333,,,,,,,,,,,,,,
1977,-0.048187994,,,,,,,,,,,,,,
1978,-0.076732383,,,,,,,,,,,,,,
1979,-0.243455816,,,,,,,,,,,,,,
1980,0.257852127,,,,,,,,,,,,,,
1981,0.477319847,,,,,,,,,,,,,,
1982,NA,,,,,,,,,,,,,,
1983,NA,,,,,,,,,,,,,,
1984,NA,,,,,,,,,,,,,,
1985,NA,,,,,,,,,,,,,,
1986,0.114166667,,,,,,,,,,,,,,
1987,0.145,,,,,,,,,,,,,,
1988,0.4875,,,,,,,,,,,,,,
1989,0.330714286,,,,,,,,,,,,,,
1990,0.132916667,,,,,,,,,,,,,,
1991,NA,,,,,,,,,,,,,,
1992,NA,,,,,,,,,,,,,,
1993,0.462857143,,,,,,,,,,,,,,
1994,NA,,,,,,,,,,,,,,
1995,NA,,,,,,,,,,,,,,
1996,NA,,,,,,,,,,,,,,
1997,NA,,,,,,,,,,,,,,
1998,0.680349388,,,,,,,,,,,,,,
1999,0.607638491,,,,,,,,,,,,,,
2000,0.3583888,,,,,,,,,,,,,,
2001,0.147347576,,,,,,,,,,,,,,
2002,0.083530775,,,,,,,,,,,,,,
2003,0.164416894,,,,,,,,,,,,,,
2004,0.073265295,,,,,,,,,,,,,,
2005,0.481800504,,,,,,,,,,,,,,
2006,0.461545966,,,,,,,,,,,,,,
2007,0.022795925,,,,,,,,,,,,,,
2008,-0.203843105,,,,,,,,,,,,,,
2009,-0.255814402,,,,,,,,,,,,,,
2010,0.114648583,,,,,,,,,,,,,,
2011,0.132089045,,,,,,,,,,,,,,
2012,0.068847716,,,,,,,,,,,,,,
2013,-0.094646237,,,,,,,,,,,,,,
2014,0.110155917,,,,,,,,,,,,,,
2015,0.4056209,,,,,,,,,,,,,,
2016,0.558257582,,,,,,,,,,,,,,
2017,0.589918033,,,,,,,,,,,,,,
2018,0.756827242,,,,,,,,,,,,,,
2019,0.956604945,,,,,,,,,,,,,,
2020,0.753848307,,,,,,,,,,,,,,
2021,0.366689144,,,,,,,,,,,,,,
2022,0.392198848,,,,,,,,,,,,,,
2023,0.265933551,,,,,,,,,,,,,,
2024,0.419968186,,,,,,,,,,,,,,
